day,busid,Travelto48,Dwell48,Travelto60,Dwell60,Travelto50,Dwell50,Travelto51,Dwell51,Travelto52,Dwell52,Travelto45,Dwell45,Travelto46,Dwell46,Travelto6,Dwell6,Travelto8,Dwell8,Travelto10,Dwell10,Travelto11,Dwell11,Travelto12,Dwell12,Travelto13,Dwell13,Travelto14,Dwell14,Travelto1,Dwell1,Travelto55,Dwell55,Travelto57,Dwell57,Travelto58,Dwell58,Travelto59,Dwell59,Travelto107,Dwell107,Travelto61,Dwell61,Travelto62,Dwell62
2015-02-03,640,762,34,52,36,60,38,104,42,58,18,60,44,90,44,108,34,64,38,110,34,60,22,84,34,64,66,80,26,92,28,172,8,26,20,34,28,118,16,38,22,32,12,34,16
2015-02-03,640,868,40,56,52,76,56,134,132,146,32,68,96,198,8,80,74,140,72,118,64,92,42,141,69,105,50,64,36,72,34,124,28,50,36,50,30,112,34,56,28,36,10,34,16
2015-02-03,640,424,34,50,42,64,44,110,58,80,40,72,48,98,64,124,40,66,48,102,28,52,38,112,42,86,38,52,32,132,36,170,26,50,24,38,40,102,38,60,20,28,10,38,16
2015-02-03,640,718,36,50,42,66,34,114,38,52,44,76,52,100,36,106,34,64,40,112,38,64,42,96,34,64,44,58,34,114,39,144,26,47,35,49,34,104,30,52,36,44,24,48,26
2015-02-03,640,806,30,46,24,50,22,88,63,80,61,96,29,69,34,145,28,65,39,89,31,57,40,134,43,77,87,100,19,57,30,157,7,25,22,36,34,84,35,56,22,30,13,36,28
2015-02-03,640,786,44,65,43,67,20,124,38,52,47,78,40,100,40,96,26,56,34,98,40,66,32,88,40,74,30,43,51,128,29,127,26,46,35,50,33,88,32,52,30,39,24,44,30
2015-02-03,640,828,36,50,42,64,42,88,76,90,42,74,72,126,80,144,84,138,140,214,100,128,102,274,186,228,132,147,55,123,48,146,32,52,56,70,42,140,34,54,29,36,26,48,28
2015-02-03,640,102,30,44,32,56,38,88,34,48,32,66,44,116,46,106,28,58,36,108,34,60,40,94,42,74,68,82,28,60,36,122,22,40,22,34,34,84,36,58,20,30,10,34,28
2015-02-03,640,792,12,27,44,67,46,154,18,34,20,52,36,88,34,68,32,69,41,89,34,68,58,118,62,96,38,54,40,102,44,138,28,48,42,58,28,132,30,52,32,42,26,48,48
2015-02-03,640,794,12,28,26,50,20,70,59,74,16,52,38,88,27,100,26,66,42,102,30,58,34,100,34,64,34,50,29,76,30,124,22,48,32,46,32,94,34,62,30,40,12,34,16
