day,busid,Travelto118,Dwell118,Travelto64,Dwell64,Travelto78,Dwell78,Travelto76,Dwell76
2015-02-24,643,1378,74,140,32,172,28,376,2
2015-02-24,643,678,22,58,36,122,36,296,2
2015-02-24,643,1038,58,78,38,94,24,340,660
2015-02-24,643,922,24,42,52,88,38,404,14
2015-02-24,643,,,,,,,
2015-02-19,645,,,,,,,,399
2015-02-19,645,794,93,123,45,78,16,
2015-02-03,647,,44,66,73,108,42,398,20
2015-02-03,647,,,,,,,,196
2015-02-03,647,536,54,80,62,98,34,360,2
2015-02-03,647,,,,,,,,166
2015-02-03,647,506,38,62,46,80,37,402,40
2015-02-03,647,,,,,,,,174
2015-02-03,647,444,38,60,82,110,32,330,3
2015-02-03,647,,,,,,,,214
2015-02-03,647,636,79,157,136,170,58,432,2
2015-02-03,647,720,32,54,34,62,18,364,44
2015-02-03,647,,,,,,,,164
2015-02-03,647,476,34,56,37,70,28,404,32
2015-02-03,647,,,,,,,,134
2015-02-03,647,456,52,76,60,96,14,402,2
2015-02-03,647,,,,,,,,225
2015-02-03,647,627,130,192,53,86,33,382,40
2015-02-03,647,,,,,,,,152
2015-02-03,647,450,48,98,56,86,44,320,2
2015-02-03,647,,,,,,,,158
2015-02-03,647,451,31,77,44,70,37,284,1
2015-02-03,647,,,,,,,,158
2015-02-03,647,483,82,110,92,130,52,407,2
2015-02-03,647,849,20,48,41,66,28,331,14
2015-02-03,647,,,,,,,,54
2015-02-03,647,328,34,50,30,54,34,340,12
2015-02-03,647,,,,,,,,142
2015-02-03,647,442,34,62,67,94,18,402,70
2015-02-03,647,,,,,,,,44
2015-02-03,647,434,88,106,82,108,34,460,4
2015-02-03,647,792,44,66,74,100,20,280,2
2015-02-03,647,,,,,,,,38
2015-02-03,647,330,26,60,36,62,24,348,16
2015-02-03,647,,,,,,,,80
2015-02-03,647,622,116,142,133,162,58,549,1
2015-02-03,647,637,54,74,28,54,14,374,2
2015-02-03,647,,,,,,,
2015-02-04,647,,34,56,54,86,32,,196
2015-02-04,647,598,24,48,28,62,16,,156
2015-02-04,647,488,28,50,43,72,28,,162
2015-02-04,647,482,60,106,64,98,34,398,6
2015-02-04,647,994,38,58,40,74,44,394,6
2015-02-04,647,,,,,,,,161
2015-02-04,647,541,56,82,79,110,34,528,483
2015-02-04,647,784,32,54,28,60,16,306,14
2015-02-04,647,,,,,,,,212
2015-02-04,647,606,30,52,60,96,30,396,14
2015-02-04,647,,,,,,,,203
2015-02-04,647,609,86,113,39,77,31,359,32
2015-02-04,647,,,,,,,,116
2015-02-04,647,461,28,57,40,72,36,390,14
2015-02-04,647,,,,,,,,210
2015-02-04,647,547,50,72,110,156,50,377,3
2015-02-04,647,,,,,,,,217
2015-02-04,647,541,36,60,72,104,60,341,1
2015-02-04,647,,,,,,,,171
2015-02-04,647,513,48,80,54,84,38,342,2
2015-02-04,647,,,,,,,,124
2015-02-04,647,434,18,38,29,62,28,302,2
2015-02-04,647,,,,,,,,152
2015-02-04,647,504,40,60,52,94,24,302,6
2015-02-04,647,,,,,,,,110
2015-02-04,647,587,64,96,129,154,16,381,2
2015-02-04,647,1140,28,48,42,70,44,360,2
2015-02-04,647,,,,,,,,206
2015-02-04,647,482,36,60,138,168,36,354,14
2015-02-04,647,,,,,,,,99
2015-02-04,647,401,75,138,108,144,52,414,2
2015-02-04,647,,,,,,,,85
2015-02-04,647,366,34,54,58,88,36,346,2
2015-02-04,647,,,,,,,,146
2015-02-04,647,462,30,98,48,78,18,338,22
2015-02-04,647,,,,,,,,174
2015-02-04,647,520,108,136,94,126,56,534,20
2015-02-04,647,,,,,,,,252
2015-02-04,647,628,56,98,44,72,34,334,2
2015-02-04,647,,,,,,,,151
2015-02-04,647,438,44,66,86,114,30,358,2
2015-02-04,647,1066,91,122,54,114,36,510,362
2015-02-04,647,1100,159,261,77,138,33,533,16
2015-02-04,647,,,,,,,
2015-05-06,647,,29,51,35,73,11,249,36
2015-05-06,647,,,,,,,,229
2015-05-06,647,555,57,77,38,71,30,383,1
2015-05-06,647,,,,,,,,181
2015-05-06,647,522,,,,,,,
2015-05-06,647,522,30,49,35,62,11,283,2
2015-05-06,647,,,,,,,,95
2015-05-06,647,364,17,37,30,55,25,330,31
2015-05-06,647,,,,,,,,76
2015-05-06,647,386,53,73,35,65,25,262,1
2015-05-06,647,,,,,,,,72
2015-05-06,647,322,22,40,36,66,14,312,29
2015-05-06,647,,,,,,,,50
2015-05-06,647,273,26,45,21,50,10,253,1
2015-05-06,647,1193,21,40,24,49,25,344,800
2015-05-06,647,1064,20,41,27,54,23,292,852
2015-05-06,647,1131,31,46,20,47,28,337,789
2015-05-06,647,1036,14,30,34,60,13,278,1
2015-05-06,647,,29,58,25,56,13,311,1
2015-05-06,647,,,,,,,
2015-01-12,648,,,,,,,,190
2015-01-12,648,520,56,80,60,102,38,440,50
2015-01-12,648,,,,,,,,202
2015-01-12,648,524,48,72,62,98,34,324,2
2015-01-12,648,,,,,,,,166
2015-01-12,648,532,44,86,66,106,31,382,52
2015-01-12,648,,,,,,,,100
2015-01-12,648,398,28,54,70,102,18,324,2
2015-01-12,648,,,,,,,,190
2015-01-12,648,479,70,109,109,158,42,435,2
2015-01-12,648,,,,,,,,136
2015-01-12,648,516,42,68,42,80,52,364,50
2015-01-12,648,,,,,,,,101
2015-01-12,648,367,50,80,84,120,36,408,54
2015-01-12,648,,,,,,,,122
2015-01-12,648,443,56,110,69,105,48,356,3
2015-01-12,648,,,,,,,,148
2015-01-12,648,428,39,73,76,118,41,349,2
2015-01-12,648,,,,,,,,124
2015-01-12,648,412,48,79,92,136,38,327,2
2015-01-12,648,,,,,,,,218
2015-01-12,648,,40,66,136,170,16,396,38
2015-01-12,648,,,,,,,,236
2015-01-12,648,567,42,68,104,140,51,401,2
2015-01-12,648,1053,42,85,53,84,36,393,2
2015-01-12,648,,,,,,,,332
2015-01-12,648,645,51,79,49,84,36,345,1
2015-01-12,648,,,,,,,,288
2015-01-12,648,648,88,170,104,140,54,460,488
2015-01-12,648,850,36,70,44,77,43,425,57
2015-01-12,648,,,,,,,,400
2015-01-12,648,710,38,64,78,112,38,334,52
2015-01-12,648,,,,,,,,452
2015-01-12,648,,42,66,70,104,44,406,10
2015-01-12,648,,,,,,,,150
2015-01-12,648,480,4,108,78,104,32,398,4
2015-01-12,648,,,,,,,,276
2015-01-12,648,622,50,70,44,70,26,398,40
2015-01-12,648,,,,,,,
2015-02-02,648,,20,41,63,97,32,,462
2015-02-02,648,772,25,43,29,59,24,,267
2015-02-02,648,621,18,40,40,74,26,,304
2015-02-02,648,622,50,72,70,104,34,598,398
2015-02-02,648,728,52,74,48,74,28,378,2
2015-02-02,648,,,,,,,,144
2015-02-02,648,442,32,55,69,101,16,328,16
2015-02-02,648,,,,,,,,216
2015-02-02,648,522,32,54,38,72,16,316,5
2015-02-02,648,,,,,,,,192
2015-02-02,648,536,31,51,56,89,33,379,2
2015-02-02,648,,,,,,,,193
2015-02-02,648,583,76,98,39,72,38,301,3
2015-02-02,648,,,,,,,,125
2015-02-02,648,465,34,55,33,65,26,290,1
2015-02-02,648,,,,,,,,256
2015-02-02,648,584,42,90,110,158,52,372,4
2015-02-02,648,,,,,,,,230
2015-02-02,648,550,42,88,100,134,38,373,2
2015-02-02,648,,,,,,,,148
2015-02-02,648,450,34,54,48,84,28,306,2
2015-02-02,648,,,,,,,,194
