Day,Date,Ridership,YearMonthDay,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Max5Speed,Max5Dir,Max2Speed,Max2Dir
Saturday,3/7/2015,3783,20150307,45,25,35,M,23,31,30,0, ,M,M,M,0,29.31,30.23,12.4,23,12.6,30,230,23,230
Sunday,3/8/2015,2398,20150308,51,24,38,M,28,35,27,0, ,M,M,M,0,29.28,30.21,2.1,19,3.5,18,240,14,240
Monday,3/9/2015,18616,20150309,48,31,40,M,37,39,25,0,BR,M,M,M,0,29.26,30.18,2.9,22,3.2,22,260,15,250
Tuesday,3/10/2015,18246,20150310,50,40,45,M,44,45,20,0,RA FG+ BR,M,M,M,0.51,29.11,30.02,1.6,6,2.8,11,70,9,90
Wednesday,3/11/2015,16666,20150311,66,38,52,M,43,46,13,0,FG+ FG BR HZ,M,M,M,0,29.28,30.24,1.5,36,2.4,15,360,12,10
Thursday,3/12/2015,14748,20150312,62,35,49,M,30,41,16,0,BR,M,M,M,0,29.47,30.39,8,11,8.5,26,110,20,120
Friday,3/13/2015,6222,20150313,54,44,49,M,45,48,16,0,RA BR,M,M,M,1.12,29.26,30.15,6,14,6.3,15,150,13,150
Saturday,3/14/2015,196,20150314,63,48,56,M,47,50,9,0,RA FG BR,M,M,M,0.35,29.11,30.03,4.5,32,5.8,20,20,15,10
Sunday,3/15/2015,91,20150315,65,32,49,M,37,45,16,0,RA,M,M,M,0,29.31,30.22,3.8,25,5,17,230,13,230
Monday,3/16/2015,173,20150316,73,51,62,M,44,53,3,0, ,M,M,M,0,29.14,30.02,11.7,25,12.1,27,230,21,230
Tuesday,3/17/2015,192,20150317,62,33,48,M,33,42,17,0, ,M,M,M,0,29.18,30.13,11.4,36,14.8,34,30,26,10
Wednesday,3/18/2015,229,20150318,49,25,37,M,14,31,28,0, ,M,M,M,0,29.37,30.29,6,8,6.8,22,100,18,90
Thursday,3/19/2015,221,20150319,50,42,46,M,24,37,19,0,RA,M,M,M,  T,29.23,30.14,8.4,9,8.8,23,110,18,110
Friday,3/20/2015,220,20150320,50,40,45,M,38,42,20,0,RA BR,M,M,M,  T,29.18,30.11,2.6,28,3.8,14,270,10,270
Saturday,3/21/2015,192,20150321,67,33,50,M,38,45,15,0,BR,M,M,M,0,29.2,30.11,3.5,28,7.6,23,280,15,250
Sunday,3/22/2015,846,20150322,57,38,48,M,23,37,17,0, ,M,M,M,0,29.23,30.15,9.2,7,9.5,22,40,17,30
Monday,3/23/2015,18381,20150323,49,32,41,M,22,32,24,0,RA,M,M,M,  T,29.21,30.14,8.4,8,9.2,22,110,17,30
Tuesday,3/24/2015,18030,20150324,43,30,37,M,32,35,28,0,RA BR HZ,M,M,M,0.12,29.23,30.14,8,10,9.5,26,120,22,120
Wednesday,3/25/2015,17789,20150325,58,43,51,M,45,47,14,0,RA BR,M,M,M,0.47,29.08,29.99,3.7,25,7.8,31,260,23,250
Thursday,3/26/2015,18191,20150326,47,34,41,M,36,39,24,0,RA BR,M,M,M,0.7,29.04,29.96,5,34,6.2,19,10,16,10
Friday,3/27/2015,11039,20150327,36,22,29,M,22,28,36,0,SN,M,M,M,  T,29.13,30.08,8.8,36,8.9,23,20,20,10
Saturday,3/28/2015,2578,20150328,42,17,30,M,14,24,35,0, ,M,M,M,0,29.33,30.29,2.4,1,4,19,350,15,360
Sunday,3/29/2015,2036,20150329,53,23,38,M,24,34,27,0,RA,M,M,M,0.09,29.25,30.15,8.3,20,10,33,180,24,180
Monday,3/30/2015,17295,20150330,62,36,49,M,33,43,16,0, ,M,M,M,0,29.15,30.06,5.7,26,7.8,22,240,17,250
Tuesday,3/31/2015,15622,20150331,68,39,54,M,33,45,11,0, ,M,M,M,0,29,29.9,6.9,29,10.4,27,250,20,280
Wednesday,4/1/2015,17238,20150401,69,36,53,M,33,45,12,0, ,M,M,M,0,29.15,30.05,7.1,15,7.2,20,160,15,190
Thursday,4/2/2015,16014,20150402,73,53,63,M,50,55,2,0,RA FG+ BR VCTS,M,M,M,0.26,28.95,29.83,7.7,21,9.1,32,230,24,220
Friday,4/3/2015,9125,20150403,61,42,52,M,49,51,13,0,RA FG+ BR,M,M,M,0.83,28.95,29.89,4.5,35,6.7,32,350,24,360
Saturday,4/4/2015,1500,20150404,54,29,42,M,30,37,23,0, ,M,M,M,0,29.36,30.3,3.7,25,6.6,22,10,18,10
Sunday,4/5/2015,1242,20150405,64,38,51,M,26,40,14,0, ,M,M,M,0,29.28,30.17,7.8,21,8.1,23,210,18,220
Monday,4/6/2015,17977,20150406,63,42,M,M,45,51,M,M,RA BR,M,M,M,  T,29.15,30.05,6.4,19,7.1,26,200,18,190
