Day,Date,Ridership,YearMonthDay,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Max5Speed,Max5Dir,Max2Speed,Max2Dir
Tuesday,10/28/2014,18373,20141028,71,47,59,M,49,55,6,0,RA BR,M,M,M,1.01,29.03,29.93,7.6,25,9,28,220,21,220
Wednesday,10/29/2014,18560,20141029,56,38,47,M,36,42,18,0, ,M,M,M,0,29.18,30.11,5.4,29,6.7,26,300,20,290
Thursday,10/30/2014,18136,20141030,55,31,43,M,35,40,22,0,RA,M,M,M,  T,29.21,30.12,0.3,19,1.4,14,110,10,130
Friday,10/31/2014,13207,20141031,47,34,41,M,36,39,24,0,RA SN BR UP,M,M,M,0.1,29.13,30.07,9,33,9.6,40,350,26,360
Saturday,11/1/2014,4794,20141101,45,26,36,M,24,31,29,0, ,M,M,M,0,29.36,30.33,9.4,36,9.8,32,360,24,10
Sunday,11/2/2014,2134,20141102,52,21,37,M,22,32,28,0, ,M,M,M,0,29.48,30.41,3.1,16,3.6,15,210,9,160
Monday,11/3/2014,18355,20141103,66,41,54,M,26,42,11,0, ,M,M,M,0,29.34,30.25,10.3,20,10.8,28,220,21,220
Tuesday,11/4/2014,18801,20141104,58,47,53,M,41,47,12,0,RA BR,M,M,M,0.4,29.21,30.12,9.5,23,10.2,34,210,23,220
Wednesday,11/5/2014,18717,20141105,54,39,47,M,43,45,18,0,FG+ BR,M,M,M,0,29.26,30.16,0.4,23,2.1,9,130,7,150
Thursday,11/6/2014,19096,20141106,48,40,44,M,39,42,21,0,RA BR,M,M,M,0.06,29.08,30.01,9.2,28,10.7,31,290,23,290
Friday,11/7/2014,11983,20141107,47,31,39,M,29,35,26,0, ,M,M,M,0,29.23,30.13,0.5,30,4.4,15,320,10,140
Saturday,11/8/2014,2771,20141108,50,34,42,M,33,38,23,0,BR,M,M,M,  T,29.02,29.94,5.1,25,8,22,240,16,260
Sunday,11/9/2014,1997,20141109,53,28,41,M,30,36,24,0, ,M,M,M,0,29.07,29.98,5.3,21,5.9,20,220,15,220
Monday,11/10/2014,18809,20141110,64,33,49,M,36,43,16,0, ,M,M,M,0,28.94,29.83,9.9,17,10.4,32,200,23,200
Tuesday,11/11/2014,19467,20141111,59,34,47,M,39,43,18,0,RA BR,M,M,M,0.04,28.93,29.87,8.5,24,11.7,29,190,22,290
Wednesday,11/12/2014,19754,20141112,34,28,31,M,24,29,34,0, ,M,M,M,0,29.33,30.28,4.1,31,5.8,16,360,13,360
Thursday,11/13/2014,19331,20141113,28,22,25,M,16,22,40,0,SN BR,M,M,M,  T,29.39,30.34,6.5,30,7.4,20,360,15,290
Friday,11/14/2014,13099,20141114,32,16,24,M,16,21,41,0, ,M,M,M,0,29.44,30.39,4.3,28,4.6,17,310,13,250
Saturday,11/15/2014,3131,20141115,36,15,26,M,17,23,39,0,SN,M,M,M,  T,29.42,30.36,2.2,15,2.8,13,150,9,200
Sunday,11/16/2014,2161,20141116,36,30,33,M,28,31,32,0,SN FG BR,M,M,M,0.18,29.18,30.09,1.9,22,3.5,11,240,9,210
Monday,11/17/2014,21462,20141117,30,16,23,M,16,20,42,0,SN BR UP HZ,M,M,M,0.03,29.03,29.99,10.2,28,10.7,29,280,20,280
Tuesday,11/18/2014,20791,20141118,20,11,16,M,6,14,49,0, ,M,M,M,0,29.26,30.24,9.7,25,10.4,31,250,22,270
Wednesday,11/19/2014,19067,20141119,40,11,26,M,18,24,39,0, ,M,M,M,0,29.12,30.05,8.3,23,12.6,36,240,28,230
